label,companyName,companyAddress,phoneNumber,city,
"섬유, 의류, 봉제 제조","SEMAPO VINA CO.,LTD","Det May I.Z, Lieu Xa, Yen My, Hung Yen",+842216250333,HUNG YEN,★★★☆☆
"섬유, 의류, 봉제 제조",Young Woo Vina III,"KCN det may Pho Noi B, Phuong Di Su, Thi xa My Hao, Tinh Hung Yen",+842213900456,HUNG YEN,★★☆☆☆
"섬유, 의류, 봉제 제조",YOUNGONE HUNG YEN,"Ta Thuong Hamlet, Chinh Nghia, Kim Dong, Hung Yen",+842213827699,HUNG YEN,★★☆☆☆
"섬유, 의류, 봉제 제조","Anh Vu Garment Im-Export Co., Ltd","Ban Yen Nhan Ward, My Hao Town, Hung Yen",,HUNG YEN ,★★☆☆☆
"섬유, 의류, 봉제 제조",KIDO HA NOI,"D Plot, Pho Noi A Industrial Park, Hung Yen Province",+842213972752,HUNG YEN ,★★★☆☆
"섬유, 의류, 봉제 제조",Seo Kwang Vina E.V.A Hanoi,"Số 10, Lô B2, Khu biệt thự Vinhome Hàm Nghi, Cầu Diễn, Nam Từ Liêm, Hà Nội",+842432020035,HUNG YEN ,★★☆☆☆
"섬유, 의류, 봉제 제조",DESIGN COUNCIL BUSAN,"#307, 57 Centumdong-ro, Haeundae-gu, Busan, Korea",+82517901000,KOREA,★★☆☆☆
"섬유, 의류, 봉제 제조",FIVE AVENUE.COM,"서울 금천구 가산동 219. 벽산 디지털밸리 6차, 602호",+8228695555,KOREA,★★★☆☆
"섬유, 의류, 봉제 제조",MAX INTERNATIONAL INC,서울시 강서구 허준로 202-10,+847047546440,KOREA,★★☆☆☆
"섬유, 의류, 봉제 제조","CHEONGHAK GLOVES VINA CO.,LTD","C1 Street, D4 Hoa Xa Industry Zone, Nam Dinh",+84332140501,NAM DINH,★★★☆☆
"섬유, 의류, 봉제 제조",D.F ZIN,"Lo D2 Khu Hoa Xa I.Z, Nam Dinh",,NAM DINH,★★★★☆
"섬유, 의류, 봉제 제조","DAE YANG NGHIA HUNG GARMENT CO.,LTD","Nghia Lac, Nghia Hung, Nam Dinh",,NAM DINH,★★★☆☆
